GroupNumber,IsMark,IsLocked,FolderPath,FilePath,Capture Date,Modified Date,Creation Date,Shot Date,FileSize
302,0,0,h:\photos\takeout\google 相簿\photos from 2022\,h:/photos/takeout/google 相簿/photos from 2022/img_3063.png,,,2022-12-19 20:53:16,,1021100
302,0,0,h:\photos\takeout\google 相簿\photos from 2023\,h:/photos/takeout/google 相簿/photos from 2023/img_6055.png,,,2023-05-23 19:32:35,,841446
304,0,0,h:\photos\takeout\google 相簿\photos from 2023\,h:/photos/takeout/google 相簿/photos from 2023/img_6374.heic,,,2023-05-28 14:04:37,2023-05-28 14:04:37,2513938
304,0,0,h:\photos\takeout\google 相簿\photos from 2023\,h:/photos/takeout/google 相簿/photos from 2023/img_6375.heic,,,2023-05-28 14:04:43,2023-05-28 14:04:43,2409595
308,0,0,h:\photos\takeout\google 相簿\photos from 2023\,h:/photos/takeout/google 相簿/photos from 2023/img_5261.png,,,2023-04-23 13:45:13,,1085229
308,0,0,h:\photos\takeout\google 相簿\photos from 2023\,h:/photos/takeout/google 相簿/photos from 2023/img_4313.png,,,2023-02-16 22:59:04,,1072880
312,0,0,h:\photos\mobilebackup\iphone\2024\01\,h:/photos/mobilebackup/iphone/2024/01/img_9330.heic,,,2024-12-02 07:32:29,2024-01-22 01:24:31,1083810
312,0,0,h:\photos\mobilebackup\iphone\2024\01\,h:/photos/mobilebackup/iphone/2024/01/img_9326.heic,,,2024-12-02 07:41:59,2024-01-22 01:21:16,863871
314,0,0,h:\photos\mobilebackup\iphone\2025\04\,h:/photos/mobilebackup/iphone/2025/04/img_20250414_125408.png,,,2025-04-14 15:22:58,,1333677
314,0,0,h:\photos\mobilebackup\iphone\2025\04\,h:/photos/mobilebackup/iphone/2025/04/img_20250414_125305.png,,,2025-04-14 14:34:07,,1016217
315,0,0,h:\photos\takeout\google 相簿\碩士班-實驗\,h:/photos/takeout/google 相簿/碩士班-實驗/imag0116.jpg,,,2016-03-18 19:13:55,2016-03-18 19:13:55,1613740
315,0,0,h:\photos\takeout\google 相簿\碩士班-實驗\,h:/photos/takeout/google 相簿/碩士班-實驗/imag0118.jpg,,,2016-03-18 19:14:07,2016-03-18 19:14:07,1313976
316,0,0,h:\photos\mobilebackup\iphone\2025\08\,h:/photos/mobilebackup/iphone/2025/08/img_20250810_191854.heic,,,2025-08-10 18:23:43,2025-08-10 19:18:54,1594005
316,0,0,h:\photos\mobilebackup\iphone\2025\08\,h:/photos/mobilebackup/iphone/2025/08/img_20250810_191855.heic,,,2025-08-10 18:24:11,2025-08-10 19:18:55,1578054
318,0,0,h:\photos\takeout\google 相簿\葳 婚禮\,h:/photos/takeout/google 相簿/葳 婚禮/img_20191026_190233.jpg,,,2019-10-26 19:02:33,2019-10-26 19:02:33,3260461
318,0,0,h:\photos\takeout\google 相簿\葳 婚禮\,h:/photos/takeout/google 相簿/葳 婚禮/img_20191026_190234.jpg,,,2019-10-26 19:02:35,2019-10-26 19:02:35,3257818
324,0,0,h:\photos\takeout\google 相簿\photos from 2023\,h:/photos/takeout/google 相簿/photos from 2023/img_6742(1).heic,,,2023-05-25 12:39:19,2023-05-25 12:39:19,1764127
324,0,0,h:\photos\takeout\google 相簿\photos from 2023\,h:/photos/takeout/google 相簿/photos from 2023/img_6741.heic,,,2023-05-25 12:39:17,2023-05-25 12:39:17,1593964
326,0,0,h:\photos\mobilebackup\iphone\2024\06\,h:/photos/mobilebackup/iphone/2024/06/img_1301.png,,,2024-12-02 03:46:23,,676651
326,0,0,h:\photos\mobilebackup\iphone\2024\07\,h:/photos/mobilebackup/iphone/2024/07/img_3163.png,,,2024-12-02 05:06:15,,657091
328,0,0,h:\photos\takeout\google 相簿\photos from 2023\,h:/photos/takeout/google 相簿/photos from 2023/img_4406.png,,,2023-03-27 13:57:28,,596611
328,0,0,h:\photos\takeout\google 相簿\photos from 2023\,h:/photos/takeout/google 相簿/photos from 2023/img_4401.png,,,2023-03-25 12:02:44,,478776
330,0,0,h:\photos\takeout\google 相簿\碩士班-實驗\,h:/photos/takeout/google 相簿/碩士班-實驗/imag0143.jpg,,,2016-03-18 20:20:39,2016-03-18 20:20:39,402366
330,0,0,h:\photos\takeout\google 相簿\碩士班-實驗\,h:/photos/takeout/google 相簿/碩士班-實驗/imag0144.jpg,,,2016-03-18 20:20:46,2016-03-18 20:20:46,367946
333,0,0,h:\photos\takeout\google 相簿\photos from 2020\,h:/photos/takeout/google 相簿/photos from 2020/img_20200501_214206.jpg,,,2020-05-01 21:42:06,2020-05-01 21:42:06,3586388
333,0,0,h:\photos\takeout\google 相簿\photos from 2020\,h:/photos/takeout/google 相簿/photos from 2020/img_20200501_214212.jpg,,,2020-05-01 21:42:12,2020-05-01 21:42:12,3465316
339,0,0,h:\photos\takeout\google 相簿\photos from 2023\,h:/photos/takeout/google 相簿/photos from 2023/img_3196.png,,,2023-01-17 18:24:03,,2909541
339,0,0,h:\photos\mobilebackup\iphone\2023\11\,h:/photos/mobilebackup/iphone/2023/11/img_8328.png,,,2024-12-02 05:45:50,,2874604
342,0,0,h:\photos\takeout\google 相簿\photos from 2023\,h:/photos/takeout/google 相簿/photos from 2023/img_3178.png,,,2023-01-08 19:32:43,,432531
342,0,0,h:\photos\takeout\google 相簿\photos from 2023\,h:/photos/takeout/google 相簿/photos from 2023/img_3177.png,,,2023-01-08 19:32:36,,421033
346,0,0,h:\photos\mobilebackup\iphone\2025\08\,h:/photos/mobilebackup/iphone/2025/08/img_20250811_150816.heic,,,2025-08-17 22:17:09,2025-08-11 16:08:16,2749966
346,0,0,h:\photos\mobilebackup\iphone\2025\08\,h:/photos/mobilebackup/iphone/2025/08/img_20250811_150820.heic,,,2025-08-17 22:17:51,2025-08-11 16:08:20,2526444
